pop	clust1	clust2
fall	0.7359	0.2641
fall	0.5062	0.4938
fall	0.5446	0.4554
fall	0.6435	0.3565
fall	0.1391	0.8609
fall	0.4119	0.5881
fall	0.4381	0.5619
fall	0.7129	0.2871
fall	0.4582	0.5418
fall	0.3743	0.6257
fall	0.4969	0.5031
fall	0.4745	0.5255
fall	0.6237	0.3763
fall	0.3394	0.6606
fall	0.3526	0.6474
fall	0.4784	0.5216
fall	0.4927	0.5073
fall	0.6570	0.3430
fall	0.5713	0.4287
fall	0.4395	0.5605
fall	0.4614	0.5386
fall	0.5511	0.4489
fall	0.4375	0.5625
fall	0.7290	0.2710
fall	0.4454	0.5546
fall	0.4971	0.5029
fall	0.5269	0.4731
fall	0.6372	0.3628
fall	0.5469	0.4531
fall	0.2952	0.7048
fall	0.5957	0.4043
fall	0.4982	0.5018
fall	0.5067	0.4933
fall	0.3224	0.6776
fall	0.5477	0.4523
fall	0.4510	0.5490
fall	0.4983	0.5017
fall	0.3502	0.6498
fall	0.4535	0.5465
fall	0.3890	0.6110
fall	0.5934	0.4066
fall	0.2096	0.7904
fall	0.5873	0.4127
fall	0.5532	0.4468
fall	0.4151	0.5849
fall	0.5613	0.4387
fall	0.5362	0.4638
fall	0.6059	0.3941
fall	0.6261	0.3739
fall	0.6272	0.3728
fall	0.2613	0.7387
fall	0.2005	0.7995
fall	0.6378	0.3622
fall	0.5540	0.4460
fall	0.4872	0.5128
fall	0.5109	0.4891
fall	0.6769	0.3231
fall	0.2708	0.7292
fall	0.6589	0.3411
fall	0.4690	0.5310
fall	0.5762	0.4238
fall	0.5937	0.4063
fall	0.4898	0.5102
fall	0.5503	0.4497
fall	0.5614	0.4386
fall	0.3749	0.6251
fall	0.6460	0.3540
fall	0.5864	0.4136
fall	0.4266	0.5734
fall	0.6055	0.3945
fall	0.6186	0.3814
fall	0.6598	0.3402
fall	0.4331	0.5669
fall	0.5959	0.4041
fall	0.5231	0.4769
fall	0.6061	0.3939
fall	0.1650	0.8350
fall	0.5973	0.4027
fall	0.5767	0.4233
fall	0.2671	0.7329
fall	0.3536	0.6464
