pop	clust1	clust2	clust3
fall	0.3798	0.0511	0.5691
fall	0.2309	0.2319	0.5372
fall	0.2620	0.1886	0.5494
fall	0.5197	0.0861	0.3943
fall	0.0422	0.9261	0.0317
fall	0.3801	0.4341	0.1859
fall	0.3089	0.3750	0.3160
fall	0.4555	0.0574	0.4871
fall	0.2315	0.3719	0.3966
fall	0.1859	0.5699	0.2442
fall	0.3977	0.2626	0.3398
fall	0.5076	0.2976	0.1947
fall	0.3934	0.1077	0.4988
fall	0.3581	0.5650	0.0769
fall	0.3411	0.5569	0.1020
fall	0.3471	0.2779	0.3750
fall	0.6896	0.2394	0.0710
fall	0.2548	0.0866	0.6586
fall	0.3975	0.1751	0.4274
fall	0.5472	0.3569	0.0959
fall	0.3215	0.3841	0.2943
fall	0.1866	0.1858	0.6276
fall	0.2851	0.3880	0.3269
fall	0.1086	0.0529	0.8385
fall	0.4301	0.3664	0.2034
fall	0.2461	0.2694	0.4845
fall	0.6860	0.1577	0.1563
fall	0.0722	0.0819	0.8459
fall	0.3826	0.1873	0.4301
fall	0.1636	0.7044	0.1321
fall	0.4478	0.1264	0.4258
fall	0.3112	0.2761	0.4127
fall	0.2240	0.2573	0.5187
fall	0.2305	0.6423	0.1273
fall	0.2343	0.2284	0.5373
fall	0.3571	0.3899	0.2530
fall	0.2301	0.2475	0.5224
fall	0.0899	0.5660	0.3441
fall	0.4091	0.3718	0.2191
fall	0.4857	0.4086	0.1057
fall	0.6705	0.1107	0.2187
fall	0.1152	0.8283	0.0565
fall	0.3986	0.1513	0.4501
fall	0.4316	0.1728	0.3956
fall	0.1705	0.4503	0.3792
fall	0.3133	0.1749	0.5118
fall	0.1274	0.1829	0.6897
fall	0.4982	0.1406	0.3612
fall	0.3586	0.1196	0.5218
fall	0.8000	0.0882	0.1117
fall	0.1256	0.7503	0.1240
fall	0.0686	0.8527	0.0787
fall	0.1726	0.0989	0.7285
fall	0.2034	0.1829	0.6137
fall	0.5678	0.2594	0.1728
fall	0.1958	0.2214	0.5828
fall	0.1979	0.0749	0.7272
fall	0.1312	0.7601	0.1087
fall	0.2781	0.0864	0.6355
fall	0.4349	0.3154	0.2497
fall	0.2459	0.1714	0.5827
fall	0.5187	0.1445	0.3368
fall	0.1738	0.3382	0.4880
fall	0.6051	0.1779	0.2170
fall	0.4887	0.1799	0.3314
fall	0.4035	0.4719	0.1246
fall	0.3270	0.1192	0.5538
fall	0.2090	0.1539	0.6372
fall	0.1000	0.3749	0.5251
fall	0.3337	0.1185	0.5478
fall	0.5020	0.1198	0.3781
fall	0.5494	0.0808	0.3698
fall	0.1309	0.4168	0.4523
fall	0.8084	0.0925	0.0991
fall	0.2595	0.2451	0.4954
fall	0.1478	0.1290	0.7232
fall	0.0550	0.9042	0.0408
fall	0.4980	0.1375	0.3646
fall	0.2758	0.1808	0.5434
fall	0.1171	0.7445	0.1384
fall	0.2238	0.5701	0.2060
fall	0.1932	0.0633	0.7435
fall	0.2558	0.1502	0.5940
fall	0.3714	0.4111	0.2175
fall	0.4231	0.1102	0.4668
fall	0.7176	0.2075	0.0749
fall	0.3049	0.1222	0.5729
half	0.0822	0.8610	0.0568
half	0.6030	0.1919	0.2050
half	0.0616	0.8795	0.0589
half	0.4509	0.0475	0.5017
half	0.1756	0.1370	0.6874
half	0.1230	0.0509	0.8261
half	0.4991	0.3761	0.1248
half	0.4396	0.4093	0.1510
half	0.4949	0.2296	0.2755
half	0.0713	0.2518	0.6769
half	0.5542	0.1344	0.3114
half	0.1628	0.2255	0.6117
half	0.4508	0.1449	0.4044
half	0.1391	0.5851	0.2758
half	0.6644	0.1970	0.1386
half	0.2293	0.3720	0.3987
half	0.1730	0.1013	0.7258
half	0.1301	0.3266	0.5433
half	0.0386	0.8924	0.0691
half	0.4926	0.2465	0.2610
half	0.2887	0.1614	0.5499
half	0.4697	0.4239	0.1064
half	0.1409	0.3247	0.5344
half	0.1511	0.1817	0.6672
half	0.6088	0.2405	0.1507
half	0.2406	0.6370	0.1224
half	0.4032	0.1749	0.4220
half	0.1773	0.1518	0.6708
half	0.4692	0.2661	0.2647
half	0.3804	0.4198	0.1999
half	0.4775	0.0981	0.4245
half	0.5835	0.1842	0.2323
half	0.1490	0.0453	0.8057
half	0.6659	0.1694	0.1647
half	0.3609	0.1760	0.4631
half	0.4113	0.0713	0.5174
half	0.5048	0.2824	0.2128
half	0.1672	0.2197	0.6131
half	0.1655	0.7121	0.1224
half	0.6167	0.1731	0.2102
half	0.1027	0.1028	0.7945
half	0.2432	0.4282	0.3285
half	0.7313	0.1565	0.1121
half	0.2578	0.2371	0.5050
half	0.1720	0.1382	0.6899
half	0.5339	0.1104	0.3557
half	0.5041	0.2232	0.2728
half	0.0698	0.0594	0.8708
half	0.5738	0.1144	0.3118
half	0.4887	0.3709	0.1404
half	0.1821	0.7483	0.0696
