pop	clust1	clust2	clust3	clust4
fall	0.1953	0.0254	0.3942	0.3852
fall	0.1433	0.1243	0.3850	0.3475
fall	0.0922	0.0842	0.2855	0.5381
fall	0.3876	0.0385	0.2055	0.3685
fall	0.0208	0.9359	0.0184	0.0250
fall	0.1648	0.2799	0.0760	0.4794
fall	0.3259	0.2635	0.2128	0.1978
fall	0.4290	0.0248	0.2446	0.3016
fall	0.0819	0.2315	0.2348	0.4518
fall	0.1660	0.5332	0.1735	0.1273
fall	0.2545	0.1575	0.2324	0.3556
fall	0.1890	0.1793	0.0880	0.5437
fall	0.5089	0.0490	0.2576	0.1845
fall	0.3111	0.4999	0.0393	0.1497
fall	0.3558	0.4763	0.0539	0.1140
fall	0.3897	0.1564	0.2116	0.2423
fall	0.4149	0.1418	0.0304	0.4129
fall	0.3460	0.0380	0.4303	0.1857
fall	0.5230	0.0822	0.2075	0.1873
fall	0.4578	0.2578	0.0421	0.2423
fall	0.2782	0.2883	0.1721	0.2614
fall	0.1573	0.1016	0.4511	0.2900
fall	0.1292	0.2335	0.1767	0.4607
fall	0.0531	0.0256	0.8347	0.0865
fall	0.4011	0.2686	0.1211	0.2092
fall	0.1784	0.1652	0.4006	0.2558
fall	0.5745	0.0770	0.0819	0.2666
fall	0.0344	0.0359	0.8767	0.0530
fall	0.2925	0.0930	0.2393	0.3752
fall	0.0923	0.6784	0.0799	0.1494
fall	0.3459	0.0606	0.2622	0.3313
fall	0.3135	0.1702	0.2956	0.2208
fall	0.1624	0.1762	0.4252	0.2362
fall	0.2417	0.5894	0.0755	0.0934
fall	0.2227	0.1367	0.3946	0.2461
fall	0.1530	0.2502	0.1189	0.4779
fall	0.1791	0.1491	0.5349	0.1368
fall	0.0598	0.5258	0.3467	0.0678
fall	0.3143	0.2317	0.0975	0.3565
fall	0.3108	0.3217	0.0561	0.3114
fall	0.5152	0.0490	0.1258	0.3100
fall	0.0703	0.8253	0.0311	0.0732
fall	0.1429	0.0663	0.2344	0.5565
fall	0.1257	0.0708	0.1509	0.6526
fall	0.1095	0.3895	0.3418	0.1592
fall	0.2242	0.0900	0.4627	0.2231
fall	0.0818	0.0959	0.7349	0.0874
fall	0.1983	0.0695	0.1959	0.5363
fall	0.2980	0.0606	0.4046	0.2368
fall	0.6928	0.0404	0.0456	0.2212
fall	0.0929	0.7412	0.0779	0.0881
fall	0.0411	0.8643	0.0503	0.0443
fall	0.0944	0.0476	0.7020	0.1559
fall	0.1316	0.1071	0.5757	0.1856
fall	0.4446	0.1446	0.0919	0.3190
fall	0.1969	0.1245	0.5624	0.1161
fall	0.1453	0.0343	0.6880	0.1324
fall	0.0901	0.7360	0.0699	0.1040
fall	0.1811	0.0405	0.5763	0.2022
fall	0.3271	0.1851	0.1237	0.3641
fall	0.2199	0.0920	0.5554	0.1327
fall	0.1804	0.0650	0.1526	0.6020
fall	0.1275	0.2619	0.4614	0.1491
fall	0.3118	0.0943	0.1462	0.4477
fall	0.4963	0.0926	0.1725	0.2386
fall	0.4332	0.3410	0.0645	0.1613
fall	0.3592	0.0589	0.4324	0.1496
fall	0.1125	0.0776	0.5486	0.2612
fall	0.0948	0.2765	0.5542	0.0745
fall	0.2019	0.0595	0.3323	0.4063
fall	0.3963	0.0522	0.1594	0.3921
fall	0.2566	0.0355	0.2085	0.4994
fall	0.0924	0.3404	0.4243	0.1429
fall	0.3438	0.0478	0.0491	0.5594
fall	0.2969	0.1531	0.4098	0.1401
fall	0.0921	0.0645	0.7159	0.1275
fall	0.0329	0.9153	0.0234	0.0285
fall	0.2937	0.0625	0.1712	0.4726
fall	0.2695	0.0937	0.2959	0.3409
fall	0.0775	0.7430	0.1009	0.0786
fall	0.1573	0.4881	0.1242	0.2304
fall	0.1071	0.0317	0.6256	0.2356
fall	0.2934	0.0731	0.4518	0.1817
fall	0.2390	0.2537	0.0933	0.4140
fall	0.3612	0.0521	0.2631	0.3236
fall	0.4944	0.1203	0.0366	0.3487
fall	0.1554	0.0524	0.4044	0.3879
half	0.0670	0.8582	0.0308	0.0440
half	0.4901	0.1010	0.1131	0.2958
half	0.0380	0.8858	0.0321	0.0441
half	0.2853	0.0219	0.3635	0.3293
half	0.1336	0.0691	0.6772	0.1200
half	0.0682	0.0256	0.8207	0.0855
half	0.3272	0.2467	0.0611	0.3650
half	0.2026	0.2777	0.0574	0.4624
half	0.5114	0.1263	0.1345	0.2279
half	0.0364	0.1643	0.7427	0.0567
half	0.4209	0.0659	0.1604	0.3529
half	0.1801	0.1381	0.5351	0.1467
half	0.2402	0.0605	0.1471	0.5522
half	0.1111	0.5506	0.2075	0.1309
half	0.6288	0.0962	0.0703	0.2047
half	0.1829	0.2672	0.2894	0.2605
half	0.1391	0.0500	0.6452	0.1656
half	0.0801	0.2354	0.5816	0.1028
half	0.0208	0.9103	0.0423	0.0266
half	0.5180	0.1402	0.1572	0.1846
half	0.3018	0.0835	0.4024	0.2123
half	0.3925	0.2922	0.0457	0.2696
half	0.0904	0.2218	0.5536	0.1342
half	0.1582	0.0970	0.5860	0.1588
half	0.3686	0.1366	0.0800	0.4147
half	0.2111	0.5691	0.0659	0.1540
half	0.2749	0.0736	0.1641	0.4874
half	0.0615	0.0784	0.4874	0.3727
half	0.2977	0.1475	0.1281	0.4267
half	0.3255	0.2892	0.0936	0.2917
half	0.3847	0.0480	0.2822	0.2851
half	0.5480	0.0879	0.0910	0.2732
half	0.0799	0.0209	0.8283	0.0710
half	0.3682	0.0803	0.0643	0.4873
half	0.2550	0.0920	0.2944	0.3585
half	0.3456	0.0336	0.3281	0.2926
half	0.1543	0.1476	0.0765	0.6216
half	0.0752	0.1291	0.5781	0.2176
half	0.1024	0.6847	0.0741	0.1388
half	0.7389	0.0799	0.0845	0.0967
half	0.0854	0.0498	0.7951	0.0698
half	0.2137	0.3361	0.2019	0.2483
half	0.1479	0.0761	0.0489	0.7272
half	0.1740	0.1289	0.3093	0.3877
half	0.1642	0.0731	0.6004	0.1622
half	0.2692	0.0465	0.1263	0.5580
half	0.5480	0.1063	0.1218	0.2240
half	0.0413	0.0283	0.8880	0.0425
half	0.4434	0.0547	0.1696	0.3322
half	0.3284	0.2774	0.0727	0.3215
half	0.0918	0.7152	0.0401	0.1529
half	0.2466	0.0360	0.1110	0.6065
half	0.5056	0.1465	0.1012	0.2467
half	0.2060	0.4446	0.1999	0.1495
half	0.1985	0.3695	0.2596	0.1725
half	0.0600	0.0895	0.7060	0.1444
half	0.2280	0.0225	0.0957	0.6538
half	0.2235	0.0388	0.0655	0.6722
half	0.1120	0.0821	0.6612	0.1447
half	0.5679	0.0736	0.1670	0.1914
half	0.4150	0.0303	0.2420	0.3128
half	0.2746	0.1108	0.4444	0.1702
half	0.1912	0.0868	0.6028	0.1193
half	0.3367	0.1483	0.2454	0.2695
half	0.2965	0.0849	0.1964	0.4222
half	0.0574	0.0476	0.8515	0.0435
half	0.3890	0.0896	0.0690	0.4524
half	0.2544	0.1260	0.3012	0.3184
half	0.3677	0.1654	0.2239	0.2430
half	0.1779	0.1006	0.3202	0.4013
half	0.4188	0.0340	0.2279	0.3193
half	0.4900	0.0625	0.0618	0.3858
half	0.4483	0.0825	0.3168	0.1525
half	0.2364	0.0531	0.5031	0.2074
half	0.3829	0.1066	0.2823	0.2282
half	0.1241	0.0616	0.6440	0.1702
half	0.4788	0.0374	0.0975	0.3863
half	0.2469	0.0318	0.2466	0.4748
half	0.2846	0.0746	0.0770	0.5638
half	0.2077	0.1370	0.3648	0.2905
half	0.3800	0.1077	0.1270	0.3853
half	0.0321	0.9222	0.0178	0.0279
half	0.0864	0.0794	0.7146	0.1196
half	0.4216	0.0455	0.1291	0.4038
half	0.1206	0.4505	0.3450	0.0839
half	0.0325	0.9053	0.0284	0.0339
half	0.1600	0.0543	0.1334	0.6524
half	0.4161	0.0441	0.1253	0.4145
half	0.2118	0.0655	0.6447	0.0780
half	0.0679	0.0202	0.8110	0.1009
half	0.5235	0.0600	0.0358	0.3808
half	0.1705	0.0329	0.5510	0.2456
half	0.0506	0.8160	0.0795	0.0539
half	0.3765	0.0620	0.1158	0.4456
half	0.3336	0.2202	0.1010	0.3451
half	0.3235	0.0518	0.1406	0.4841
half	0.1794	0.5917	0.1201	0.1088
half	0.3099	0.0192	0.1181	0.5528
half	0.0973	0.1373	0.5873	0.1781
half	0.1599	0.0359	0.0774	0.7268
half	0.2717	0.0976	0.1861	0.4445
half	0.1711	0.2059	0.4083	0.2147
half	0.1408	0.0714	0.6796	0.1082
half	0.0896	0.0526	0.6836	0.1742
half	0.7785	0.0500	0.0387	0.1327
half	0.3573	0.1646	0.1726	0.3055
half	0.7899	0.0249	0.0657	0.1195
half	0.0862	0.8112	0.0326	0.0699
half	0.1429	0.0429	0.0469	0.7674
half	0.1859	0.0846	0.5213	0.2082
half	0.0915	0.7812	0.0684	0.0590
half	0.3487	0.0459	0.0990	0.5064
half	0.0856	0.0734	0.7027	0.1384
half	0.4964	0.0369	0.1068	0.3599
half	0.0953	0.0189	0.8169	0.0690
half	0.2799	0.0578	0.2010	0.4613
half	0.3825	0.0781	0.2188	0.3206
half	0.1531	0.1366	0.1407	0.5695
half	0.0510	0.8444	0.0484	0.0562
half	0.2354	0.2809	0.1063	0.3775
half	0.5274	0.0555	0.1008	0.3163
half	0.0946	0.5737	0.2006	0.1310
half	0.0325	0.9089	0.0209	0.0378
half	0.3133	0.2153	0.1353	0.3361
half	0.1544	0.2764	0.4396	0.1296
half	0.1516	0.0440	0.1450	0.6594
half	0.3007	0.0766	0.0896	0.5330
half	0.7563	0.0416	0.1012	0.1009
half	0.0539	0.8396	0.0336	0.0729
half	0.2378	0.4265	0.1203	0.2154
half	0.1032	0.0454	0.6211	0.2303
half	0.5075	0.1533	0.0498	0.2895
half	0.4778	0.0214	0.2005	0.3004
half	0.0970	0.3120	0.0935	0.4976
half	0.3575	0.0586	0.3173	0.2666
half	0.3027	0.0894	0.1297	0.4782
half	0.6205	0.0360	0.0919	0.2516
half	0.0286	0.9219	0.0230	0.0265
half	0.3153	0.2634	0.0681	0.3531
half	0.0295	0.8834	0.0521	0.0350
half	0.4061	0.0665	0.0532	0.4741
half	0.1533	0.0455	0.2044	0.5969
half	0.1438	0.2674	0.2730	0.3158
half	0.2971	0.0971	0.0671	0.5387
half	0.2142	0.0649	0.2346	0.4864
half	0.4085	0.1402	0.1249	0.3265
half	0.0315	0.9044	0.0326	0.0315
half	0.2338	0.5601	0.1134	0.0927
half	0.4267	0.0411	0.3248	0.2073
half	0.4247	0.1241	0.2167	0.2345
half	0.4391	0.1693	0.0695	0.3221
half	0.6552	0.1343	0.0793	0.1313
half	0.1673	0.0658	0.1155	0.6514
half	0.1838	0.1186	0.5643	0.1332
half	0.6330	0.0296	0.2324	0.1050
half	0.2047	0.0717	0.4724	0.2511
half	0.1587	0.0911	0.4004	0.3498
half	0.0226	0.9315	0.0236	0.0222
half	0.0927	0.2122	0.5907	0.1044
half	0.1266	0.5402	0.1680	0.1651
half	0.1057	0.5938	0.1189	0.1816
half	0.2348	0.0920	0.0827	0.5904
half	0.3295	0.1618	0.2107	0.2981
half	0.2255	0.0901	0.1196	0.5648
half	0.0479	0.0476	0.8159	0.0886
half	0.4744	0.1080	0.0944	0.3233
half	0.1837	0.0847	0.5376	0.1939
half	0.0697	0.0442	0.6220	0.2641
half	0.1009	0.3615	0.3857	0.1520
half	0.1579	0.1079	0.1016	0.6326
fall	0.2155	0.2854	0.2179	0.2812
fall	0.2218	0.5377	0.1204	0.1201
fall	0.6612	0.0428	0.1358	0.1602
fall	0.3961	0.0823	0.0705	0.4511
fall	0.2762	0.1776	0.2306	0.3155
fall	0.1747	0.0569	0.5584	0.2100
fall	0.3208	0.1021	0.1257	0.4514
fall	0.4403	0.0705	0.1605	0.3287
fall	0.1866	0.0262	0.0676	0.7195
fall	0.2770	0.2192	0.1585	0.3453
fall	0.1296	0.1842	0.5187	0.1675
fall	0.3100	0.2419	0.1126	0.3355
fall	0.0815	0.0513	0.5802	0.2870
fall	0.2150	0.4394	0.1135	0.2321
fall	0.2920	0.2497	0.0541	0.4042
fall	0.4309	0.0617	0.2237	0.2836
fall	0.0660	0.7873	0.0482	0.0985
fall	0.3214	0.1776	0.2969	0.2041
fall	0.6017	0.0870	0.0965	0.2148
fall	0.3696	0.1265	0.0703	0.4336
fall	0.2919	0.3687	0.0736	0.2658
fall	0.5402	0.2348	0.0627	0.1622
fall	0.1231	0.1595	0.4071	0.3103
fall	0.3919	0.0796	0.1017	0.4268
fall	0.2070	0.2531	0.1980	0.3419
fall	0.4703	0.0827	0.1042	0.3427
fall	0.2514	0.0430	0.2175	0.4881
fall	0.3786	0.0706	0.3748	0.1760
fall	0.5095	0.0363	0.2036	0.2506
fall	0.0174	0.9509	0.0155	0.0162
fall	0.0943	0.7764	0.0570	0.0722
fall	0.4856	0.1615	0.0701	0.2828
fall	0.0250	0.9219	0.0271	0.0260
fall	0.1176	0.4681	0.2492	0.1651
fall	0.2893	0.2886	0.0899	0.3322
fall	0.1149	0.0515	0.6946	0.1390
fall	0.4188	0.2584	0.0649	0.2579
fall	0.3925	0.0396	0.2516	0.3163
fall	0.5860	0.0525	0.1334	0.2281
fall	0.0736	0.8013	0.0380	0.0871
fall	0.5784	0.0364	0.0609	0.3243
fall	0.2376	0.2819	0.3671	0.1134
fall	0.4364	0.0631	0.1376	0.3628
fall	0.0419	0.8789	0.0299	0.0494
fall	0.2681	0.4851	0.0733	0.1736
fall	0.4486	0.1876	0.0800	0.2837
fall	0.5386	0.2019	0.1200	0.1395
fall	0.4984	0.0480	0.1417	0.3118
fall	0.0993	0.6704	0.0280	0.2023
fall	0.2706	0.0371	0.3213	0.3710
fall	0.3812	0.1593	0.0832	0.3762
fall	0.0324	0.9051	0.0296	0.0329
fall	0.2213	0.4842	0.1024	0.1922
fall	0.2757	0.5476	0.0669	0.1098
fall	0.1499	0.0550	0.6437	0.1515
fall	0.4176	0.0288	0.1671	0.3865
fall	0.1250	0.0672	0.6800	0.1278
fall	0.2298	0.0976	0.1544	0.5182
fall	0.4253	0.0519	0.1153	0.4076
fall	0.2539	0.0726	0.4768	0.1967
fall	0.1612	0.0451	0.5426	0.2511
fall	0.4342	0.0306	0.1965	0.3388
fall	0.4991	0.0234	0.1309	0.3466
fall	0.4441	0.0441	0.1079	0.4040
fall	0.2523	0.3859	0.0918	0.2700
fall	0.5647	0.0412	0.0414	0.3527
fall	0.1971	0.0398	0.2170	0.5461
fall	0.1435	0.4696	0.0810	0.3060
fall	0.3023	0.0789	0.0668	0.5521
fall	0.3858	0.0582	0.2029	0.3532
half	0.1604	0.0590	0.6313	0.1494
half	0.2410	0.0980	0.0985	0.5625
half	0.2490	0.0881	0.0380	0.6249
half	0.1317	0.6620	0.0943	0.1120
half	0.0998	0.7456	0.0866	0.0680
half	0.0624	0.8417	0.0380	0.0579
half	0.1510	0.2384	0.2346	0.3760
half	0.1939	0.0358	0.5444	0.2259
half	0.0426	0.8809	0.0315	0.0450
half	0.4787	0.0518	0.0684	0.4012
half	0.0594	0.8677	0.0251	0.0478
half	0.3248	0.0741	0.0723	0.5289
half	0.1584	0.1739	0.5196	0.1481
half	0.4463	0.0249	0.3326	0.1962
half	0.2478	0.4380	0.1172	0.1970
half	0.1387	0.3705	0.3198	0.1710
half	0.2132	0.5111	0.1593	0.1163
half	0.0761	0.6909	0.1137	0.1192
half	0.1822	0.0394	0.0402	0.7382
half	0.5915	0.0701	0.0645	0.2739
half	0.2145	0.2314	0.1096	0.4445
half	0.6288	0.0503	0.0798	0.2412
half	0.6238	0.0664	0.0554	0.2545
half	0.1594	0.7307	0.0430	0.0669
half	0.1897	0.4793	0.1180	0.2130
half	0.1502	0.2379	0.2281	0.3838
half	0.2423	0.1183	0.0824	0.5570
half	0.1949	0.0546	0.1042	0.6463
half	0.2092	0.0569	0.5024	0.2315
