pop	clust1	clust2	clust3	clust4	clust5
fall	0.1182	0.0161	0.3047	0.3565	0.2045
fall	0.0922	0.0818	0.1869	0.2281	0.4110
fall	0.0479	0.0581	0.1555	0.5008	0.2378
fall	0.3421	0.0273	0.1332	0.3064	0.1910
fall	0.0153	0.9333	0.0133	0.0203	0.0177
fall	0.0905	0.2156	0.0478	0.5350	0.1110
fall	0.2891	0.2135	0.1643	0.1945	0.1385
fall	0.1372	0.0158	0.1060	0.0903	0.6507
fall	0.0578	0.1773	0.1627	0.4491	0.1531
fall	0.1400	0.4916	0.1289	0.0757	0.1637
fall	0.2100	0.1170	0.1513	0.3999	0.1218
fall	0.1186	0.1332	0.0685	0.5831	0.0965
fall	0.3353	0.0311	0.1491	0.0834	0.4010
fall	0.3220	0.4419	0.0272	0.1312	0.0777
fall	0.3472	0.4333	0.0414	0.1141	0.0640
fall	0.3003	0.1193	0.1467	0.2069	0.2268
fall	0.1262	0.0905	0.0191	0.1768	0.5874
fall	0.2013	0.0266	0.2155	0.0832	0.4734
fall	0.5001	0.0527	0.1023	0.0697	0.2752
fall	0.3994	0.2224	0.0261	0.2304	0.1216
fall	0.1439	0.1935	0.0842	0.1111	0.4673
fall	0.1537	0.0760	0.3682	0.2035	0.1986
fall	0.0758	0.1676	0.1059	0.2556	0.3951
fall	0.0351	0.0191	0.8226	0.0810	0.0422
fall	0.3409	0.2224	0.0807	0.1381	0.2180
fall	0.0964	0.1222	0.3048	0.1748	0.3019
fall	0.5435	0.0542	0.0562	0.2194	0.1267
fall	0.0268	0.0272	0.8641	0.0460	0.0359
fall	0.1619	0.0637	0.1308	0.2611	0.3825
fall	0.0657	0.6337	0.0524	0.0828	0.1654
fall	0.1305	0.0391	0.1402	0.2122	0.4780
fall	0.1218	0.1001	0.1548	0.0791	0.5443
fall	0.1268	0.1422	0.3369	0.2135	0.1806
fall	0.2284	0.5521	0.0525	0.0661	0.1009
fall	0.1397	0.0867	0.1920	0.1068	0.4749
fall	0.0971	0.1800	0.0831	0.2997	0.3402
fall	0.1661	0.1016	0.5308	0.1274	0.0741
fall	0.0381	0.5035	0.3350	0.0472	0.0761
fall	0.0744	0.1076	0.0386	0.0812	0.6983
fall	0.2185	0.2856	0.0395	0.3497	0.1067
fall	0.4347	0.0368	0.0925	0.2940	0.1420
fall	0.0501	0.8009	0.0243	0.0620	0.0626
fall	0.0605	0.0448	0.1498	0.3273	0.4176
fall	0.0604	0.0435	0.0850	0.3809	0.4302
fall	0.0858	0.3508	0.3043	0.1573	0.1017
fall	0.1680	0.0706	0.4059	0.1548	0.2007
fall	0.0636	0.0698	0.7234	0.1019	0.0412
fall	0.0704	0.0479	0.1427	0.4084	0.3305
fall	0.2263	0.0420	0.3133	0.2366	0.1819
fall	0.4997	0.0257	0.0263	0.1230	0.3253
fall	0.0839	0.7060	0.0644	0.0867	0.0590
fall	0.0333	0.8487	0.0397	0.0364	0.0419
fall	0.0694	0.0351	0.6463	0.1433	0.1059
fall	0.0924	0.0738	0.5659	0.1594	0.1084
fall	0.1612	0.0913	0.0571	0.1284	0.5620
fall	0.2634	0.0892	0.4613	0.0795	0.1065
fall	0.0903	0.0237	0.5996	0.0964	0.1900
fall	0.0724	0.7066	0.0512	0.0781	0.0917
fall	0.1437	0.0280	0.5412	0.1369	0.1502
fall	0.3211	0.1297	0.0824	0.3332	0.1337
fall	0.2018	0.0650	0.4806	0.1184	0.1342
fall	0.1029	0.0433	0.0924	0.4578	0.3036
fall	0.0987	0.2204	0.3882	0.1793	0.1134
fall	0.2182	0.0647	0.0992	0.4622	0.1557
fall	0.3211	0.0644	0.0997	0.1245	0.3904
fall	0.4155	0.2818	0.0420	0.1059	0.1548
fall	0.4468	0.0380	0.3192	0.1086	0.0873
fall	0.0828	0.0527	0.4452	0.2142	0.2052
fall	0.0725	0.2304	0.4976	0.0559	0.1437
fall	0.0795	0.0361	0.1652	0.2043	0.5148
fall	0.2188	0.0344	0.0914	0.1743	0.4810
fall	0.1379	0.0252	0.1424	0.5217	0.1728
fall	0.0445	0.2334	0.2244	0.0750	0.4227
fall	0.1776	0.0373	0.0356	0.6432	0.1063
fall	0.1946	0.1194	0.3208	0.0876	0.2776
fall	0.0727	0.0481	0.6432	0.1009	0.1352
fall	0.0249	0.9085	0.0176	0.0293	0.0198
fall	0.1128	0.0416	0.1087	0.2003	0.5366
fall	0.1177	0.0504	0.1079	0.0879	0.6361
fall	0.0713	0.7355	0.0834	0.0640	0.0458
fall	0.1343	0.4272	0.1047	0.2131	0.1207
fall	0.0783	0.0220	0.5668	0.1970	0.1358
fall	0.1849	0.0482	0.2582	0.1296	0.3791
fall	0.2995	0.1933	0.0671	0.2431	0.1971
fall	0.1707	0.0306	0.1224	0.1042	0.5721
fall	0.4952	0.0831	0.0262	0.2817	0.1138
fall	0.1728	0.0358	0.3003	0.3746	0.1165
half	0.0480	0.8318	0.0230	0.0258	0.0714
half	0.3491	0.0633	0.0721	0.1695	0.3460
half	0.0288	0.8818	0.0250	0.0324	0.0320
half	0.2699	0.0168	0.3448	0.2418	0.1268
half	0.0974	0.0483	0.5437	0.0930	0.2175
half	0.0458	0.0189	0.7927	0.0567	0.0860
half	0.1462	0.1732	0.0377	0.1839	0.4591
half	0.0959	0.2056	0.0325	0.2615	0.4045
half	0.4198	0.0962	0.0985	0.1766	0.2088
half	0.0288	0.1289	0.7383	0.0341	0.0698
half	0.3310	0.0467	0.1267	0.2203	0.2754
half	0.2099	0.1036	0.4616	0.1085	0.1163
half	0.0788	0.0360	0.0739	0.1249	0.6864
half	0.0835	0.5096	0.1367	0.1005	0.1696
half	0.5618	0.0804	0.0508	0.1504	0.1566
half	0.1595	0.1943	0.1672	0.1777	0.3013
half	0.0910	0.0368	0.5282	0.1213	0.2228
half	0.0751	0.1999	0.5491	0.1470	0.0289
